sample,assay,total_seconds,success_count,frame_count,prop_success
20190614_1335_icab_ho5_L_q4,open_field,600,17948,18000,0.9971111111111111
20190612_1053_icab_kaga_R_q2,open_field,600,17949,18000,0.9971666666666666
20190612_1604_icab_hni_R_q4,open_field,600,17949,18000,0.9971666666666666
20190616_1622_icab_ho5_L_q3,novel_object,600,17949,18000,0.9971666666666666
20190613_0953_icab_hni_R_q3,open_field,600,17950,18000,0.9972222222222222
20190613_1617_icab_ho5_L_q2,novel_object,600,17950,18000,0.9972222222222222
20190615_1236_icab_hdr_R_q1,novel_object,600,17950,18000,0.9972222222222222
20190616_1506_icab_hni_L_q2,open_field,600,17951,18000,0.9972777777777778
20190614_1456_icab_ho5_R_q4,novel_object,600,17952,18000,0.9973333333333333
20190615_1423_icab_icab_L_q2,novel_object,600,17952,18000,0.9973333333333333
20190615_1714_icab_icab_L_q3,novel_object,600,17953,18000,0.9973888888888889
20190616_1045_icab_icab_L_q1,open_field,600,17953,18000,0.9973888888888889
20190611_1331_icab_icab_R_q4,novel_object,600,17954,18000,0.9974444444444445
20190614_1404_icab_ho5_L_q4,open_field,600,17954,18000,0.9974444444444445
20190616_1351_icab_ho5_L_q3,novel_object,600,17954,18000,0.9974444444444445
20190612_1123_icab_hni_R_q1,open_field,600,17955,18000,0.9975
20190615_1332_icab_icab_L_q3,novel_object,600,17956,18000,0.9975555555555555
20190616_1417_icab_hni_L_q4,novel_object,600,17957,18000,0.9976111111111111
20190612_1236_icab_kaga_R_q4,open_field,600,17958,18000,0.9976666666666667
20190611_1658_icab_ho5_R_q2,open_field,600,17959,18000,0.9977222222222222
